A,B,C,D
2,49,20,48
30,77,81,93
64,72,89,38
93,22,0,88
65,18,12,57
39,39,51,20
92,76,69,24
66,7,24,54
58,93,93,82
89,45,77,16
3,14,66,60
19,1,36,35
3,83,26,63
0,71,35,4
34,66,94,85
29,13,7,52
46,66,16,50
77,27,80,83
57,67,78,17
86,5,68,53
95,52,94,98
78,64,76,32
60,78,12,9
67,0,68,2
30,24,34,69
13,43,87,12
20,3,33,49
30,49,83,27
75,97,96,0
93,62,57,34
26,56,49,23
39,45,88,69
73,92,11,20
30,78,99,75
81,91,14,52
75,14,96,98
90,16,53,5
52,24,87,37
50,84,14,9
96,22,16,44
98,53,20,31
95,2,75,35
56,65,59,4
71,98,78,29
9,3,54,13
32,89,22,85
16,58,14,85
73,39,72,45
4,99,94,20
49,4,25,16
61,83,5,72
28,23,95,12
32,85,23,54
79,85,97,13
70,32,29,93
19,25,27,29
8,89,28,28
61,28,71,58
62,51,48,20
8,32,62,52
45,94,75,1
70,85,62,91
51,65,81,20
10,2,50,32
21,64,21,7
68,95,17,83
54,98,74,43
77,35,57,0
0,22,76,60
57,73,44,37
31,87,46,58
22,58,71,37
87,35,16,51
47,33,91,89
1,78,2,43
61,2,82,12
30,83,35,62
48,73,9,77
32,24,49,48
1,28,67,4
89,18,31,85
12,99,91,18
14,29,60,94
25,75,53,75
35,97,20,47
78,4,62,74
83,85,93,3
94,78,67,37
84,10,75,62
14,65,77,19
13,56,12,41
36,93,45,26
32,33,36,20
33,52,82,5
26,3,4,61
87,48,73,77
23,50,47,21
16,33,88,3
48,70,14,95
43,23,55,2
