A,B,C,D
93,92,5,97
71,61,77,40
92,29,12,98
39,5,51,45
26,16,2,4
76,8,3,65
1,76,31,43
43,43,28,32
97,55,96,43
42,21,50,1
7,9,11,67
42,4,1,9
71,5,51,43
56,59,94,47
77,70,83,82
73,4,30,13
66,23,53,86
75,88,20,9
98,78,62,97
27,73,73,76
40,83,61,7
12,39,48,61
30,11,94,59
8,1,27,88
17,6,27,76
5,31,53,66
86,89,10,45
39,35,24,8
87,24,93,55
61,41,84,9
35,88,60,13
30,95,52,91
76,60,99,90
97,28,50,2
46,93,40,55
51,15,58,56
58,99,70,17
73,14,67,43
99,56,8,2
85,96,83,91
19,19,28,42
64,65,46,75
6,72,6,1
51,67,43,6
13,87,12,53
38,39,52,0
97,63,58,11
17,21,90,43
21,13,1,44
43,74,17,61
39,7,52,23
86,55,2,45
58,97,50,99
90,24,39,8
66,30,1,22
85,47,39,81
23,67,24,39
85,76,68,42
72,15,7,70
54,99,97,5
71,76,17,16
83,76,44,15
23,61,78,78
23,84,30,93
4,58,79,17
28,42,30,35
95,20,27,53
78,0,64,1
77,52,0,4
94,12,47,32
87,79,82,29
72,62,85,14
72,20,79,86
92,63,28,58
92,48,79,27
88,27,98,59
30,57,26,55
18,84,17,87
44,85,44,81
47,54,1,60
88,47,61,60
35,57,28,30
71,50,2,11
93,48,2,4
42,36,52,19
87,44,49,75
70,81,48,42
73,8,17,5
16,44,59,23
82,47,54,74
46,23,16,45
88,48,16,86
45,29,26,49
64,10,95,70
88,67,94,70
38,87,1,61
30,28,7,53
97,74,54,20
40,18,37,92
79,73,53,70
