A,B,C,D
65,53,30,74
38,56,43,21
57,49,10,76
24,85,30,73
8,71,33,85
53,5,37,60
71,34,61,66
45,42,20,34
97,64,44,88
38,20,9,76
15,82,91,14
19,54,90,9
2,87,78,11
78,54,89,99
35,69,4,91
19,17,86,27
17,19,9,54
16,16,34,66
45,64,53,84
92,51,63,9
61,27,33,88
52,62,83,84
0,96,27,99
68,71,79,91
39,93,29,47
20,56,70,40
13,66,90,66
76,23,90,22
84,44,76,86
36,65,53,26
49,96,61,74
93,90,13,7
3,91,42,56
11,38,21,92
8,44,82,93
67,72,34,85
46,98,63,96
20,83,72,85
43,61,35,9
0,67,3,13
31,17,24,27
55,53,88,96
58,49,6,59
75,45,19,17
41,67,37,99
66,4,57,34
14,13,49,84
84,86,28,14
41,38,97,76
1,60,93,25
41,95,71,82
48,7,55,16
66,31,35,0
14,68,25,68
7,80,39,99
41,90,17,68
77,23,43,29
29,85,16,69
46,8,12,91
73,88,58,48
98,93,93,54
88,61,45,85
27,84,38,49
22,18,32,88
98,69,92,51
55,19,84,4
64,69,96,13
6,23,41,89
82,6,71,80
91,61,33,70
53,34,5,35
91,52,47,82
76,26,23,29
6,47,40,6
0,97,78,65
10,10,73,22
79,73,40,97
35,34,96,7
38,89,15,37
27,98,91,24
22,58,39,77
50,99,5,28
94,78,14,84
99,48,8,42
32,52,8,47
19,22,5,5
63,99,8,54
22,35,26,32
0,9,70,45
83,63,1,78
77,92,40,49
92,8,37,42
66,58,40,26
47,0,28,83
16,29,8,32
38,46,37,66
86,5,21,60
89,85,52,80
28,96,78,21
76,48,7,62
