A,B,C,D
2,52,62,10
24,91,93,24
70,57,10,29
90,96,31,5
74,19,71,60
58,18,49,43
33,96,49,38
43,40,44,46
87,88,48,20
28,74,54,98
73,2,87,16
92,88,1,24
39,16,40,26
61,80,56,7
39,15,55,76
43,4,12,25
33,70,67,56
42,1,76,18
46,23,10,68
5,26,70,75
89,80,31,66
32,61,71,5
70,36,63,18
14,60,83,93
94,87,85,85
26,79,87,11
68,91,30,84
88,51,1,65
20,86,94,24
6,53,85,70
71,43,16,32
8,57,45,14
59,89,85,24
88,26,17,3
94,32,66,11
76,48,6,18
68,62,46,72
44,59,60,91
86,79,48,47
78,89,19,53
33,75,52,99
68,17,86,39
98,13,86,73
77,29,66,46
83,76,15,25
34,88,0,18
6,16,58,95
18,17,37,25
84,76,12,42
48,33,2,11
84,88,61,55
95,45,71,98
72,72,13,22
84,68,34,99
64,41,88,24
8,92,57,23
35,84,24,13
92,59,70,36
39,34,36,45
22,88,64,54
67,73,75,24
88,76,78,6
26,2,13,48
35,73,48,88
98,35,97,29
31,29,20,50
67,90,1,36
36,86,60,65
48,22,58,11
5,30,45,68
67,42,4,50
6,96,75,9
70,28,53,9
72,99,88,60
68,37,4,74
34,9,61,16
84,5,35,44
25,36,79,22
32,78,54,98
76,84,8,52
96,75,19,39
3,44,94,32
34,11,88,3
5,69,1,36
36,65,24,77
49,9,70,14
31,52,88,55
65,78,24,23
54,10,6,43
60,82,14,79
31,94,98,15
2,84,94,99
89,30,3,29
86,49,39,14
38,7,17,49
94,74,19,49
50,50,76,14
59,5,17,93
97,61,66,66
6,26,80,48
