A,B,C,D
29,96,76,18
81,87,42,92
12,65,72,28
54,11,95,89
45,72,79,15
98,23,98,40
78,51,43,56
66,68,93,37
46,64,49,33
75,62,18,34
54,57,15,70
55,31,83,93
47,37,16,58
84,69,94,49
9,20,66,41
92,46,14,66
0,56,27,47
24,77,80,57
21,68,68,11
14,24,75,79
41,61,12,93
82,82,66,50
98,34,75,24
55,18,70,89
36,36,70,29
46,38,91,83
89,27,25,94
20,19,42,37
50,55,86,26
39,51,54,45
10,59,27,9
6,46,32,63
22,47,86,70
45,62,65,93
45,66,29,40
17,23,9,21
45,17,55,24
28,10,78,33
38,9,55,96
46,86,94,66
61,87,88,14
39,60,78,58
21,1,43,54
28,93,70,10
66,81,99,42
40,64,9,49
97,11,38,82
93,9,41,7
18,98,95,55
57,38,42,49
82,20,47,55
87,92,59,98
69,20,34,1
57,58,15,52
98,24,30,26
84,27,6,33
51,77,18,18
81,47,13,48
23,96,49,16
23,39,80,31
40,66,77,82
84,4,5,10
40,44,42,47
89,6,86,44
61,79,23,11
47,43,55,37
19,49,1,47
81,70,95,57
26,25,7,87
68,61,51,12
92,86,40,24
49,34,75,50
45,47,72,56
23,14,71,44
72,85,22,49
8,23,5,24
69,84,56,38
72,53,10,19
65,59,37,79
33,88,69,74
56,87,33,79
5,73,90,93
47,96,58,55
7,39,1,89
59,42,16,29
47,32,53,95
79,4,41,10
36,71,42,9
21,96,93,29
20,88,64,89
26,44,40,35
30,9,86,0
47,20,2,56
38,46,69,80
24,22,10,39
73,24,84,61
62,1,60,95
58,34,37,95
84,73,34,44
35,56,30,25
