A,B,C,D
95,17,82,69
50,46,31,50
41,76,58,51
60,68,29,83
26,19,45,87
59,39,95,98
82,38,5,71
72,43,68,44
21,64,70,70
17,74,38,44
81,67,81,69
86,53,58,37
97,71,75,51
94,62,27,81
2,12,24,49
17,38,85,52
87,62,11,79
30,35,47,19
76,92,56,56
5,37,7,26
0,51,70,7
60,62,19,30
97,43,9,32
81,78,3,71
55,27,77,76
24,51,33,31
16,84,10,53
22,51,77,82
97,79,94,93
42,72,87,22
65,92,63,42
40,64,73,11
80,27,39,45
22,19,98,47
88,12,12,31
51,2,81,29
4,87,68,21
91,94,80,37
51,71,76,55
40,15,55,13
45,57,99,87
83,2,52,87
97,92,91,0
70,44,94,36
45,15,87,45
49,36,50,36
34,5,95,3
65,88,80,77
7,2,58,7
44,48,27,76
99,7,90,98
54,45,20,84
59,35,57,11
63,81,87,19
46,80,63,71
71,30,99,68
31,86,41,44
66,58,76,1
10,0,15,27
17,68,1,96
25,90,28,25
33,74,30,45
39,13,77,47
64,93,50,18
69,57,43,31
58,14,46,32
83,27,65,88
61,65,38,71
96,24,72,74
37,33,17,20
58,98,70,4
71,21,81,41
30,39,8,9
2,97,47,17
97,61,41,85
15,67,57,23
28,36,18,63
6,99,54,32
26,91,68,1
54,59,66,10
36,52,41,33
14,53,86,71
16,90,32,81
74,9,77,79
45,10,38,75
3,91,47,42
24,5,64,36
63,33,14,22
53,98,62,69
79,96,52,2
3,37,5,8
78,31,48,21
12,9,11,79
17,74,29,46
63,56,11,64
84,90,81,3
89,61,73,71
73,23,44,0
54,60,36,48
19,89,2,31
