A,B,C,D
60,39,44,43
94,70,39,98
55,47,17,82
62,48,89,70
21,63,7,99
92,82,49,14
70,98,21,14
87,42,35,18
2,64,54,35
79,81,54,48
99,61,44,25
23,66,82,21
42,27,76,99
7,49,15,59
4,90,55,9
91,15,31,79
65,88,69,34
97,0,47,15
72,48,40,72
79,75,49,34
61,44,13,87
0,4,71,48
5,33,8,90
58,44,0,11
19,57,34,80
98,7,7,94
71,97,74,56
21,78,62,30
66,5,83,71
47,32,14,27
19,71,52,29
84,83,29,12
69,17,60,37
68,16,28,45
70,45,12,59
19,66,11,55
49,49,90,51
21,3,15,25
65,48,9,92
71,55,34,0
96,19,11,37
44,99,82,77
4,51,48,51
83,1,69,31
56,28,51,75
29,38,93,86
40,55,62,87
75,44,36,35
29,26,27,25
62,41,42,56
80,10,97,32
35,9,58,72
31,10,64,4
95,22,42,54
45,20,81,7
24,50,91,52
45,83,94,27
9,7,67,82
36,88,90,98
66,50,15,51
59,72,95,36
59,85,15,56
36,71,59,0
97,21,63,63
35,48,24,64
21,31,56,97
87,76,19,58
13,43,46,71
69,18,93,29
35,14,61,70
59,61,23,22
50,99,41,57
36,21,58,43
53,83,62,45
43,73,45,18
11,88,97,91
46,13,69,48
89,38,20,6
57,43,60,18
29,39,69,9
97,1,75,26
48,66,64,86
93,59,3,45
58,71,58,10
57,81,68,20
71,12,16,63
93,63,4,14
26,96,89,25
6,77,7,26
33,16,41,61
79,46,58,24
46,29,84,30
1,52,63,65
44,96,74,98
25,86,30,57
21,54,63,38
51,83,92,78
99,87,64,62
94,45,0,59
28,48,67,73
