A,B,C,D
89,5,1,83
49,48,53,53
76,70,77,7
63,0,2,11
26,16,63,11
82,16,71,88
13,77,45,28
4,23,94,75
16,9,4,81
38,31,23,83
34,37,9,50
88,90,53,38
73,59,61,36
37,70,1,88
64,5,98,17
36,13,48,16
64,71,52,46
53,0,34,42
84,50,32,51
73,38,53,87
45,71,83,47
31,19,29,75
26,83,23,22
95,25,95,89
70,18,86,83
52,68,89,6
50,76,88,69
78,11,90,97
57,85,31,54
65,95,97,54
20,46,4,53
78,56,61,97
1,99,62,87
93,95,86,38
42,21,11,3
56,70,58,91
35,86,57,35
45,42,8,49
39,72,37,49
66,90,76,3
86,30,60,10
67,94,51,26
59,81,95,30
82,50,96,78
12,69,0,8
60,78,78,75
18,55,81,47
88,68,19,4
43,29,62,43
60,37,47,13
99,63,84,43
33,51,92,94
92,64,79,85
21,37,15,37
85,49,42,97
33,97,2,75
32,50,31,30
68,98,78,33
75,88,35,63
89,27,15,99
39,62,81,83
28,46,75,45
51,81,89,6
0,5,80,17
6,59,84,96
89,77,95,35
58,36,95,96
49,92,55,11
36,53,71,80
49,77,66,36
3,45,82,77
76,9,12,94
69,73,66,93
67,74,48,21
70,20,54,46
25,32,60,49
33,62,84,45
83,30,64,41
0,52,57,58
14,78,9,13
78,3,37,54
33,58,67,56
57,33,50,74
24,18,97,16
3,31,40,92
34,44,92,91
71,94,41,33
44,28,25,78
66,62,36,12
28,96,78,21
5,85,46,21
74,2,97,76
78,65,3,56
69,69,10,16
2,96,77,26
29,8,58,9
34,72,26,7
10,99,97,36
16,24,31,11
97,83,31,88
